id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce
57160527,Casablanca,20000.0,48.0,Maarif,Appartement,5,1,https://www.avito.ma/fr/maarif/appartements/__Bel_appartement_vide_moderne_gauthier_5_CHAMBRES_57160527.htm
57454598,Tanger,6500.0,90.0,Castilla,Appartement,4,1,https://www.avito.ma/fr/castilla/appartements/Appartement_Non_meubl%C3%A9_%C3%A0_Moulay_Ismail_57454598.htm
57274506,Casablanca,17000.0,155.0,Racine,Appartement,3,1,https://www.avito.ma/fr/racine/appartements/CMN_AN_1873___Appartement_%C3%A0_louer_%C3%A0_Racine_57274506.htm
57472696,Casablanca,2300.0,56.0,Oulfa,Appartement,3,1,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_Riad_Oulfa_pour_couples_mari%C3%A9s_avec_documents_de_travail_disponibles_57472696.htm
57460455,Casablanca,5500.0,90.0,Route d'Azemmour,Appartement,3,1,https://www.avito.ma/fr/route_d_azemmour/appartements/Appartement_%C3%A0_louer_57460455.htm
56340448,Casablanca,5000.0,50.0,Quartier des Hôpitaux,Appartement,2,1,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/STUDIO_VIDE_%C3%80_LOUER_QUARTIER_LES_H%C3%94PITAUX_56340448.htm
57472635,Tanger,5000.0,92.0,Autre secteur,Appartement,3,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_moderne_a_louer_%C3%A0_Tanger_av_my_rachid_57472635.htm
56627245,Casablanca,6000.0,50.0,Quartier des Hôpitaux,Appartement,2,1,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/STUDIO_MEUBL%C3%89_%C3%80_LOUER_QUARTIER_LES_H%C3%94PITAUX_56627245.htm
57293174,Marrakech,7000.0,86.0,Guéliz,Appartement,3,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_80_m%C2%B2_%C3%A0_Marrakech_57293174.htm
56049401,Rabat,5500.0,35.0,Hay Riad,Appartement,1,1,https://www.avito.ma/fr/hay_riad/appartements/Studio_%C3%A0_louer_56049401.htm
57472564,Marrakech,28000.0,418.0,Route de Fès,Villa,5,1,https://www.avito.ma/fr/route_de_f%C3%A8s/villas_et_riads/Villa_meubl%C3%A9e_avec_piscine___Proche_Belive_57472564.htm
57094699,Casablanca,15000.0,842.4755007153076,Bourgogne,Appartement,3,1,https://www.avito.ma/fr/bourgogne/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_Bourgogne_57094699.htm
54684176,Rabat,13700.0,155.0,Hay Riad,Appartement,6,2,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_louer_mahaj_riad_54684176.htm
56916092,Marrakech,6500.0,65.0,Guéliz,Appartement,2,1,https://www.avito.ma/fr/gu%C3%A9liz/bureaux/Appartement_usage_Bureau_%C3%A0_louer_65_m%C2%B2_%C3%A0_Marrakech_56916092.htm
57472558,Marrakech,15000.0,110.0,Agdal,Appartement,4,1,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_louer_110_m%C2%B2_%C3%A0_Marrakech_57472558.htm
57430074,Rabat,20000.0,210.0,Hay Riad,Appartement,5,1,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_louer_sur_Souissi_57430074.htm
57472551,Marrakech,4000.0,85.0,Ain Mezouar,Appartement,4,1,https://www.avito.ma/fr/ain_mezouar/appartements/Appartement_vide_a_Louer_57472551.htm
57402356,Marrakech,11000.0,160.0,Guéliz,Appartement,5,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_160_m%C2%B2_%C3%A0_Marrakech_57402356.htm
57472539,Marrakech,6500.0,84.0,Mabrouka,Appartement,3,1,https://www.avito.ma/fr/mabrouka/appartements/Appartement_avec_balcon_et_piscine___%C3%A0_louer_mensuellement_57472539.htm
57285753,Casablanca,4500.0,97.0,Centre Ville,Appartement,3,1,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_louer_93_m%C2%B2_%C3%A0_Casablanca_57285753.htm
57434958,Casablanca,7000.0,60.0,Gauthier,Appartement,2,1,https://www.avito.ma/fr/gauthier/appartements/Studio_meubl%C3%A9_57434958.htm
57459426,Marrakech,8500.0,58.0,Semlalia,Appartement,2,1,https://www.avito.ma/fr/semlalia/appartements/Appartement_%C3%A0_louer_58_m%C2%B2_%C3%A0_Marrakech_57459426.htm
57472490,Casablanca,8580.0,56.0,Maarif,Appartement,2,1,https://www.avito.ma/fr/maarif/appartements/Studio_neuf_Maarif_57472490.htm
57136421,Casablanca,6300.0,70.0,2 Mars,Appartement,3,1,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_louer_70_m%C2%B2_%C3%A0_Casablanca_57136421.htm
56974559,Casablanca,7000.0,100.0,Californie,Appartement,3,1,https://www.avito.ma/fr/californie/appartements/Appartement_neuf_haut_standing_%C3%A0_Californie_56974559.htm
57181780,Rabat,23500.0,176.0,Souissi,Appartement,5,1,https://www.avito.ma/fr/souissi/appartements/Appartement_%C3%A0_louer_176_m%C2%B2_%C3%A0_L_ORANGERAIE_SOUISSI_57181780.htm
57458171,Tanger,250.0,74.0,Marjane,Appartement,3,1,https://www.avito.ma/fr/marjane/appartements/Appartements_tr%C3%A8s_propres_et_s%C3%A9curis%C3%A9s__Pour_familles_et_entreprises__Tanger_57458171.htm
57449729,Rabat,15000.0,140.0,Hassan,Appartement,2,1,https://www.avito.ma/fr/hassan/bureaux/Appartement_bureau_%C3%A0_louer_sur_Hassan_57449729.htm
57452829,Casablanca,11000.0,84.0,Casablanca Finance City,Maison,3,1,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appart_neuf_%C3%A0_louer_%C3%A0_cfc_%C3%A0_ne_pas_rater_57452829.htm
56435107,Casablanca,4200.0,104.0,Aïn Chock,Maison,5,1,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Tr%C3%A8s_ensoleill%C3%A9_3ch1s_%C3%A0_Californie_56435107.htm
56208955,Casablanca,4200.0,105.0,Californie,Maison,5,1,https://www.avito.ma/fr/californie/appartements/Joli_appart_3ch2s_%C3%A0_Californie_56208955.htm
57405312,Tanger,4500.0,65.0,Tanja Balia,Appartement,3,1,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_dans_la_r%C3%A9sidence_Rico_Costa_%C3%A0_Tanger_Balia_57405312.htm
57458938,Rabat,38000.0,556.0,Hay Riad,Villa,7,2,https://www.avito.ma/fr/hay_riad/villas_et_riads/Villa_R%C3%A9nov%C3%A9e_%C3%A0_Louer_Hay_Riad_57458938.htm
57141766,Tanger,10000.0,100.0,Centre ville,Appartement,3,1,https://www.avito.ma/fr/centre_ville/appartements/Appartement_meubl%C3%A9_moderne_%C3%A0_cot%C3%A9_de_Battouta_Mall_57141766.htm
57458206,Marrakech,3500.0,56.0,M'Hamid,Appartement,4,1,https://www.avito.ma/fr/m_hamid/appartements/Appartement_%C3%A0_louer___3_chambres___Mhamid_10_57458206.htm
57426501,Rabat,13500.0,124.0,Hay Riad,Appartement,3,1,https://www.avito.ma/fr/hay_riad/appartements/Appartement_3_CH_%C3%A0_louer_%C3%A0_Prestigia_Rabat_57426501.htm
56362677,Casablanca,6000.0,90.0,Californie,Maison,3,1,https://www.avito.ma/fr/californie/appartements/Coquet_appart_meubl%C3%A9_%C3%A0_californie_56362677.htm
57472365,Casablanca,8500.0,115.0,Almaz,Maison,3,1,https://www.avito.ma/fr/almaz/appartements/Rez_de_jardin_%C3%A0_louer_%C3%A0_Almaz_57472365.htm
56736769,Rabat,12000.0,80.0,Quartier de l'Océan,Appartement,4,1,https://www.avito.ma/fr/quartier_de_l_oc%C3%A9an/appartements/Appartement_%C3%A0_louer_80_m%C2%B2_%C3%A0_RABAT_56736769.htm
57332871,Marrakech,9000.0,86.0,Guéliz,Appartement,3,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_80_m%C2%B2_%C3%A0_Marrakech_57332871.htm
56282042,Casablanca,5000.0,130.0,Aïn Chock,Appartement,4,2,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_louer_130_m2_bd_al_qods_Casablanca_56282042.htm
57472331,Rabat,20000.0,160.0,Haut Agdal,Appartement,4,1,https://www.avito.ma/fr/haut_agdal/appartements/Appartement_meubl%C3%A9_%C3%A0_louer__Haut_Agdal_57472331.htm
57381403,Tanger,7000.0,100.0,Autre secteur,Appartement,4,1,https://www.avito.ma/fr/autre_secteur/appartements/Tr%C3%A8s_bel_appartement_%C3%A0_louer_57381403.htm
55820211,Casablanca,5000.0,40.0,Centre Ville,Maison,2,1,https://www.avito.ma/fr/centre_ville/appartements/N85_LD_Vue_Royale_Mansour_5_%C3%89toiles_55820211.htm
57392389,Casablanca,10000.0,120.0,Maârif Extension,Appartement,5,1,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_louer_120_m%C2%B2_%C3%A0_Casablanca_57392389.htm
57472315,Casablanca,35000.0,600.0,Aïn Diab,Villa,6,2,https://www.avito.ma/fr/a%C3%AFn_diab/villas_et_riads/Villa_%C3%A0_louer_ain_diab_en_tr%C3%A8s_bon_%C3%A9tat_57472315.htm
57472282,Casablanca,4000.0,54.0,Mandarona,Appartement,3,1,https://www.avito.ma/fr/mandarona/appartements/Appartement_%C3%A0_louer_meubl%C3%A9_57472282.htm
57472272,Marrakech,350.0,88.0,Daoudiate,Maison,3,1,https://www.avito.ma/fr/daoudiate/appartements/Partma_lyouma_350_Daoudiate_57472272.htm
57472251,Marrakech,6300.0,110.0,Route de Casablanca,Appartement,4,1,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_avec_balcon_et_3_chambres___%C3%A0_louer_pr%C3%A8s_de_Marjane_57472251.htm
57472266,Casablanca,4500.0,48.0,Casablanca Finance City,Appartement,2,1,https://www.avito.ma/fr/casablanca_finance_city/appartements/Studio_Neuf_57472266.htm
57472265,Casablanca,2500.0,70.0,Ain Sebaa,Maison,3,1,https://www.avito.ma/fr/ain_sebaa/appartements/Proche_de_la_mosqu%C3%A9e_Al_Wahda_57472265.htm
57472244,Casablanca,5500.0,92.0,Belvédère,Appartement,3,1,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_louer_Belv%C3%A9d%C3%A8re_57472244.htm
57472230,Rabat,7000.0,85.0,Diour Jamaa,Appartement,3,1,https://www.avito.ma/fr/diour_jamaa/appartements/Appartement_%C3%A0_louer_57472230.htm
57472180,Marrakech,7000.0,50.0,Guéliz,Appartement,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_longue_duree_%C3%A0_gueliz_57472180.htm
57472178,Casablanca,4200.0,90.0,Maarif,Appartement,3,1,https://www.avito.ma/fr/maarif/appartements/Appartement_ensoleill%C3%A9_90_m%C2%B2_%C3%A0_Beausejour_57472178.htm
57432583,Marrakech,10000.0,84.0,Semlalia,Appartement,3,1,https://www.avito.ma/fr/semlalia/appartements/Appartement_neuf_meubl%C3%A9_%C3%A0_louer_semlalia_57432583.htm
57472155,Casablanca,2000.0,90.0,Mers Sultan,Appartement,6,2,https://www.avito.ma/fr/mers_sultan/appartements/Appartement_%C3%A0_louer_90_m%C2%B2_%C3%A0_Casablanca_57472155.htm
57421520,Marrakech,8000.0,87.0,Semlalia,Appartement,3,1,https://www.avito.ma/fr/semlalia/appartements/Appartement_neuf_ds_r%C3%A9s_avec_piscine_57421520.htm
57349694,Casablanca,7000.0,842.4755007153076,Oulfa,Appartement,4,1,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_Mazola_57349694.htm
56871367,Casablanca,30000.0,210.0,Casablanca Finance City,Appartement,4,1,https://www.avito.ma/fr/casablanca_finance_city/appartements/%C3%80_Louer_Appartement_CFC_56871367.htm
56296585,Casablanca,6000.0,80.0,Californie,Maison,3,1,https://www.avito.ma/fr/californie/appartements/Coquet_appart_meubl%C3%A9_%C3%A0_californie_56296585.htm
57350660,Casablanca,8900.0,59.0,Maarif,Appartement,2,1,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_louer_59_m%C2%B2_%C3%A0_Casablanca_57350660.htm
