id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce
57346043,Casablanca,2999986.1,287.0,Hay Laymouna,Maison,7,2,https://www.avito.ma/fr/hay_laymouna/maisons/Maison_double_fa%C3%A7ade_287_m%C2%B2_habitable_4_niveaux_57346043.htm
57029300,Tanger,4650212.3,113.0,Ahlane,Maison,12,5,https://www.avito.ma/fr/ahlane/maisons/Maison_enregistr%C3%A9e_avec_deux_fa%C3%A7ades_%C3%A0_vendre_%C3%A0_Ahla_57029300.htm
57374711,Marrakech,3500163.7,260.0,Route de Tahanaoute,Villa,4,1,https://www.avito.ma/fr/route_de_tahanaoute/maisons/Villa_%C3%A0_5_minutes_de_Morocco_Mall_marrakech_57374711.htm
57333583,Casablanca,46002305.4,102.0,Sidi Maarouf,Maison,12,5,https://www.avito.ma/fr/sidi_maarouf/maisons/Maison_%C3%A0_vendre_Sidi_Maarouf_57333583.htm
56921942,Casablanca,3500163.7,378.0,Sidi Bernoussi,Maison,4,1,https://www.avito.ma/fr/sidi_bernoussi/maisons/Maison_%C3%A0_vendre_%C3%A0_Qods_Sidi_bernoussi_56921942.htm
57471161,Tanger,1449975.3,60.0,Beni Said,Maison,1,1,https://www.avito.ma/fr/beni_said/maisons/Maison_%C3%A0_vendre_57471161.htm
57471114,Tanger,2200061.8,100.0,Beausejour,Maison,2,1,https://www.avito.ma/fr/beausejour/maisons/Maison_%C3%A0_vendre_57471114.htm
55826834,Casablanca,1899955.2,85.0,Oulfa,Maison,8,3,https://www.avito.ma/fr/oulfa/maisons/Maison_%C3%A0_vendre_55826834.htm
51884933,Casablanca,2600023.9,260.0,Hay Hassani,Maison,8,3,https://www.avito.ma/fr/hay_hassani/maisons/Maison_260m%C2%B2_habitable_4_Niveaux_en_vente_%C3%A0_Casablanca_51884933.htm
57415933,Casablanca,2999986.1,140.0,Hay Sadri,Maison,3,1,https://www.avito.ma/fr/hay_sadri/maisons/Immeuble_%C3%A0_vendre__rue_des_Forces_Auxiliaires_57415933.htm
57470402,Marrakech,439904.4,452.0,Oued Ourika,Maison,3,1,https://www.avito.ma/fr/oued_ourika/maisons/belle_maison_%C3%A0_vendre_%C3%A0_la_rue_d_Ourika_57470402.htm
57231969,Casablanca,1399957.5,64.0,Sidi Othmane,Maison,4,1,https://www.avito.ma/fr/sidi_othmane/maisons/Maison_64m2_RDC_plus_2_deux_fa%C3%A7ades_S_Othman_Casa_57231969.htm
57470145,Marrakech,2399952.9,148.0,Hay Charaf,Maison,6,2,https://www.avito.ma/fr/hay_charaf/maisons/Maison_%C3%A0_vendre_Hay_Charaf_pr%C3%A8s_de_Marjane_57470145.htm
57262380,Casablanca,2250079.5,78.0,Sidi Maarouf,Maison,5,1,https://www.avito.ma/fr/sidi_maarouf/maisons/CMN_AC_2048___Maison_%C3%A0_vendre_%C3%A0_Sidi_Maarouf_57262380.htm
57448509,Casablanca,2300097.3,72.0,Florida,Maison,7,2,https://www.avito.ma/fr/florida/maisons/Maison_72m_%C3%A0_vendre_%C3%A0_Florida_Sidi_Maarouf_57448509.htm
55283138,Marrakech,1949973.0,96.0,M'Hamid,Maison,8,3,https://www.avito.ma/fr/m_hamid/maisons/Maison_nuef_104m_fa%C3%A7ade_tijari_55283138.htm
51625572,Casablanca,413995.9,140.0,Route d'El Jadida,Maison,6,2,https://www.avito.ma/fr/route_d_el_jadida/maisons/LOTS_POUR_MAISONS_R2_A_HAD_SOUALEM_DE_120_A_140M%C2%B2_51625572.htm
47013426,Marrakech,1199886.5,150.0,Azli,Maison,20,9,https://www.avito.ma/fr/azli/maisons/Maison_150_m%C2%B2_R_plus_2_Azli_47013426.htm
34378506,Marrakech,1600028.6,82.0,Daoudiate,Maison,3,1,https://www.avito.ma/fr/daoudiate/maisons/Maison_82_m2_a_Daoudaite_34378506.htm
