id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bain,url_annonce
annonce_1,Casablanca,1380000.0,57.0,Bourgogne Ouest,Appartement,1,1,https://www.mubawab.ma/fr/a/8066263/studio-premium-%C3%A0-saisir
annonce_2,Casablanca,1350000.0,54.0,Casablanca Finance City,Appartement,1,1,https://www.mubawab.ma/fr/a/8247723/studio-premium-%C3%A0-saisir
annonce_4,Casablanca,1450000.0,83.0,Ferme Bretonne (Hay Arraha),Appartement,2,2,https://www.mubawab.ma/fr/a/7857210/appartement-premium-%C3%A0-saisir
annonce_5,Casablanca,2400000.0,84.0,Casablanca Finance City,Appartement,1,1,https://www.mubawab.ma/fr/a/8278144/vente-studio-moderne-avec-grande-terrasse-au-cfc
annonce_6,Marrakech,6700000.0,500.0,Agdal,Villa,6,1,https://www.mubawab.ma/fr/pa/7643604/splendide-villa-%C3%A0-vendre
annonce_7,Casablanca,1600000.0,102.0,Gauthier,Appartement,2,2,https://www.mubawab.ma/fr/a/8234883/%C3%A0-vendre-2-chambres-traversant-%C3%A0-gauthier
annonce_9,Marrakech,4900000.0,44.0,Route Amizmiz,Appartement,1,1,https://www.mubawab.ma/fr/pa/8226923/appartement-%C3%A0-vendre-%C3%A0-route-de-tahanaout-1-chambre
annonce_11,Casablanca,1370000.0,57.0,Casablanca Finance City,Appartement,1,1,https://www.mubawab.ma/fr/a/8096314/studio-premium-%C3%A0-saisir
annonce_12,Rabat,10071449.529288704,1200.0,Hay El Menzah,Villa,4,2,https://www.mubawab.ma/fr/pa/8211908/somptueuse-maison-%C3%A0-vendre-%C3%A0-hay-el-menzah-4-belles-chambres
annonce_13,Casablanca,1280000.0,56.0,Ferme Bretonne (Hay Arraha),Appartement,1,2,https://www.mubawab.ma/fr/a/8106013/studio-premium-avec-terrasse
annonce_14,Casablanca,1180000.0,47.0,Les princesses,Appartement,1,1,https://www.mubawab.ma/fr/a/7987994/studio-premium-%C3%A0-saisir
annonce_15,Tanger,1090000.0,87.0,Beni Touzine,Appartement,3,2,https://www.mubawab.ma/fr/pa/8250944/votre-appart-%C3%A0-tanger-vous-attend
annonce_16,Casablanca,1090000.0,50.0,Oasis,Appartement,1,1,https://www.mubawab.ma/fr/a/7857212/studio-premium-%C3%A0-saisir
annonce_17,Casablanca,1670000.0,75.0,Les princesses,Appartement,2,2,https://www.mubawab.ma/fr/a/7862588/appartement-premium
annonce_18,Marrakech,958000.0,53.0,Guéliz,Appartement,1,1,https://www.mubawab.ma/fr/pa/8257820/bel-appartement-%C3%A0-vendre-%C3%A0-gu%C3%A9liz
annonce_19,Casablanca,1840000.0,76.0,Oasis,Appartement,2,2,https://www.mubawab.ma/fr/a/8233038/appartement-premium-a-saisir
annonce_20,Casablanca,1395000.0,88.0,Les princesses,Appartement,1,2,https://www.mubawab.ma/fr/a/8212443/duplex-premium-%C3%A0-saisir
annonce_21,Marrakech,13800000.0,1297.0,Route Amizmiz,Villa,4,5,https://www.mubawab.ma/fr/pa/8219828/villa-de-haut-standing-%C3%A0-vendre-%C3%A0-route-amizmiz-surface-totale-1297-m%C2%B2
annonce_22,Casablanca,3250000.0,208.0,Casablanca Finance City,Appartement,3,3,https://www.mubawab.ma/fr/a/8086534/appartement-premium-%C3%A0-saisir
annonce_23,Casablanca,2500000.0,135.0,Gauthier,Appartement,3,3,https://www.mubawab.ma/fr/a/8243417/%C3%A0-vendre-appartement-3-ch-avec-terrasse-%C3%A0-gauthier
annonce_24,Tanger,663001.0,78.0,Route Nationale Assilah (N1),Appartement,2,1,https://www.mubawab.ma/fr/pa/8219264/appartement-2-chambres-%C3%A0-tanger-pr%C3%A8s-de-la-plage
annonce_25,Marrakech,495000.0,80.0,Sidi Ben Slimane El Jazouli,Riad,4,3,https://www.mubawab.ma/fr/a/8283536/superbe-petit-riad-entierement-r%C3%A9nov%C3%A9
annonce_26,Tanger,10000000.0,600.0,Tanja Balia,Villa,6,4,https://www.mubawab.ma/fr/a/8205493/belle-villa-de-895m%C2%B2-%C3%A0-vendre-%C3%A0-tanger-bella-vista
annonce_27,Tanger,660000.0,82.0,Marjane,Appartement,2,1,https://www.mubawab.ma/fr/a/8209493/appartement-f3-avec-terrasse-%C3%A0-vendre-route-rabat
annonce_28,Tanger,4700000.0,210.0,Malabata,Appartement,3,3,https://www.mubawab.ma/fr/a/8184529/bel-appartement-haut-standing-%C3%A0-vendre-malabata-hills
annonce_29,Casablanca,1500000.0,125.0,Mers Sultan,Appartement,3,2,https://www.mubawab.ma/fr/a/8292406/superbe-appartement-%C3%A0-vendre-%C3%A0-mers-sultan-surface-totale-125-m%C2%B2-r%C3%A9sidence-avec-concierge
annonce_30,Casablanca,1500000.0,130.0,Mers Sultan,Appartement,3,2,https://www.mubawab.ma/fr/a/8292400/appartement-en-vente-%C3%A0-mers-sultan-surface-totale-130-m%C2%B2-bien-meubl%C3%A9
annonce_31,Casablanca,3200000.0,175.0,Gauthier,Appartement,3,2,https://www.mubawab.ma/fr/a/8273078/a-vendre-3-chambres-spacieux-gauthier
annonce_32,Casablanca,1400000.0,47.0,Palmier,Appartement,1,1,https://www.mubawab.ma/fr/a/8031497/studios-neufs-modernes-a-palmier
annonce_33,Casablanca,1900000.0,92.0,Palmier,Appartement,2,2,https://www.mubawab.ma/fr/a/8139022/appartement-neuf-2-chambres-avec-espace-ext%C3%A9rieur
annonce_35,Marrakech,800000.0,60.0,Hay Saada,Appartement,3,1,https://www.mubawab.ma/fr/a/8288525/appartement-b%C3%BCro-cabinet
annonce_36,Casablanca,1270000.0,69.0,Californie,Appartement,2,2,https://www.mubawab.ma/fr/pa/8102156/appartement-%C3%A0-l-achat-%C3%A0-californie-3-pi%C3%A8ces-confortables-piscine-et-air-conditionn%C3%A9
annonce_38,Tanger,2000000.0,133.0,Ahlane,Appartement,3,2,https://www.mubawab.ma/fr/a/8286335/appartement-ahlan-residence-fadl-allah-tanger
annonce_39,Casablanca,3670000.0,362.0,Ain Diab Extension,Appartement,3,3,https://www.mubawab.ma/fr/pa/8236141/appartement-penthouse-en-vente-%C3%A0-ain-diab-extension-surface-de-362-m%C2%B2-places-de-stationnement-et-jardin
annonce_40,Marrakech,4300000.0,200.0,Route de Tahanaout,Villa,8,4,https://www.mubawab.ma/fr/a/8286023/villa-%C3%A0-vendre-marrakech-avec-sa-piscine-priv%C3%A9e
annonce_42,Casablanca,1600000.0,120.0,Californie,Appartement,3,2,https://www.mubawab.ma/fr/pa/8106466/superbe-appartement-%C3%A0-vendre-%C3%A0-californie-surface-totale-120-m%C2%B2
annonce_43,Casablanca,1650000.0,145.0,Beauséjour,Appartement,2,1,https://www.mubawab.ma/fr/a/8214647/%C3%A0-vendre-appt-2-chambres-avec-terrasse-beaus%C3%A9jour
annonce_44,Casablanca,6500000.0,124.0,Ain Diab Extension,Villa,6,4,https://www.mubawab.ma/fr/a/8176332/%C3%A0-vendre-villa-4-chambres-ain-diab
annonce_45,Casablanca,2460000.0,145.0,Ain Diab Extension,Appartement,3,2,https://www.mubawab.ma/fr/pa/8230746/superbe-appartement-%C3%A0-vendre-%C3%A0-ain-diab-extension-3-chambres-agr%C3%A9ables-terrasse-et-jardin
annonce_46,Casablanca,2500000.0,147.0,Gauthier,Appartement,3,2,https://www.mubawab.ma/fr/a/8180722/a-vendre-appartement-3-chambres-%C3%A0-gauthier
annonce_47,Casablanca,1150000.0,42.0,Gauthier,Appartement,1,1,https://www.mubawab.ma/fr/a/8156543/studios-%C3%A0-vendre-%C3%A0-gauthier-investissement
annonce_48,Marrakech,6871500.0,1527.0,Route de Fez,Villa,4,4,https://www.mubawab.ma/fr/pa/8116927/magnifique-villa-%C3%A0-vendre-%C3%A0-route-de-fez-surface-totale-1527-m%C2%B2
annonce_49,Casablanca,1150000.0,42.0,Palmier,Appartement,1,1,https://www.mubawab.ma/fr/a/7954535/studio-haut-standing-a-vendre
annonce_50,Casablanca,1070000.0,39.0,Palmier,Appartement,1,1,https://www.mubawab.ma/fr/a/8235072/studios-neufs-%C3%A0-vendre-%E2%80%93-palmier-casablanca
annonce_51,Marrakech,1344000.0,56.0,Guéliz,Appartement,2,1,https://www.mubawab.ma/fr/pa/8109878/appartement-en-vente-%C3%A0-el-hara-1-belle-chambre
annonce_52,Casablanca,1150000.0,42.0,Gauthier,Appartement,1,1,https://www.mubawab.ma/fr/a/8248246/studios-neufs-quartier-gauthier
annonce_53,Marrakech,4800000.0,400.0,Hay Targa,Villa,5,4,https://www.mubawab.ma/fr/a/8287473/somptueuse-maison-%C3%A0-vendre-%C3%A0-hay-targa-5-pi%C3%A8ces-confortables-bien-meubl%C3%A9
annonce_54,Marrakech,4200000.0,330.0,Route de Tahanaout,Villa,4,4,https://www.mubawab.ma/fr/pa/8137130/somptueuse-villa-%C3%A0-vendre-%C3%A0-route-de-tahanaout-superficie-330-m%C2%B2
annonce_55,Marrakech,8700000.0,1200.0,Route de l'Ourika,Villa,6,7,https://www.mubawab.ma/fr/a/8273263/prestigieuses-villas-%C3%A0-vendre-avec-une-vue-panoramique-sur-l-atals-%C3%A0-partir-de-8-7mdh
annonce_56,Casablanca,1300000.0,88.0,Ain Chock,Appartement,2,2,https://www.mubawab.ma/fr/a/8287431/joli-deux-chambres-%C3%A0-r%C3%A9nover-r%C3%A9sidence-ferm%C3%A9e
annonce_57,Marrakech,850000.0,50.0,Guéliz,Appartement,1,1,https://www.mubawab.ma/fr/pa/8158294/petit-bijou-immobilier-t2-de-50-m%C2%B2
annonce_58,Marrakech,14000000.0,700.0,Amelkis,Villa,7,7,https://www.mubawab.ma/fr/a/8278739/villa-d%E2%80%99architecte-d%E2%80%99exception-%E2%80%93-golf-amelkis
