ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bain,source
Casablanca,20000.0,48.0,Maarif,Appartement,5,1,avito
Tanger,6500.0,90.0,Castilla,Appartement,4,1,avito
Casablanca,17000.0,155.0,Racine,Appartement,3,1,avito
Casablanca,2300.0,56.0,Oulfa,Appartement,3,1,avito
Casablanca,5500.0,90.0,Route d'Azemmour,Appartement,3,1,avito
Casablanca,5000.0,50.0,Quartier des Hôpitaux,Appartement,2,1,avito
Tanger,5000.0,92.0,Autre secteur,Appartement,3,1,avito
Casablanca,6000.0,50.0,Quartier des Hôpitaux,Appartement,2,1,avito
Marrakech,7000.0,86.0,Guéliz,Appartement,3,1,avito
Rabat,5500.0,35.0,Hay Riad,Appartement,1,1,avito
Marrakech,28000.0,418.0,Route de Fès,Villa,5,1,avito
Casablanca,15000.0,842.4755007153076,Bourgogne,Appartement,3,1,avito
Rabat,13700.0,155.0,Hay Riad,Appartement,6,2,avito
Marrakech,6500.0,65.0,Guéliz,Appartement,2,1,avito
Marrakech,15000.0,110.0,Agdal,Appartement,4,1,avito
Rabat,20000.0,210.0,Hay Riad,Appartement,5,1,avito
Marrakech,4000.0,85.0,Ain Mezouar,Appartement,4,1,avito
Marrakech,11000.0,160.0,Guéliz,Appartement,5,1,avito
Marrakech,6500.0,84.0,Mabrouka,Appartement,3,1,avito
Casablanca,4500.0,97.0,Centre Ville,Appartement,3,1,avito
Casablanca,7000.0,60.0,Gauthier,Appartement,2,1,avito
Marrakech,8500.0,58.0,Semlalia,Appartement,2,1,avito
Casablanca,8580.0,56.0,Maarif,Appartement,2,1,avito
Casablanca,6300.0,70.0,2 Mars,Appartement,3,1,avito
Casablanca,7000.0,100.0,Californie,Appartement,3,1,avito
Rabat,23500.0,176.0,Souissi,Appartement,5,1,avito
Rabat,15000.0,140.0,Hassan,Appartement,2,1,avito
Casablanca,11000.0,84.0,Casablanca Finance City,Maison,3,1,avito
Casablanca,4200.0,104.0,Aïn Chock,Maison,5,1,avito
Casablanca,4200.0,105.0,Californie,Maison,5,1,avito
Tanger,4500.0,65.0,Tanja Balia,Appartement,3,1,avito
Rabat,38000.0,556.0,Hay Riad,Villa,7,2,avito
Tanger,10000.0,100.0,Centre ville,Appartement,3,1,avito
Marrakech,3500.0,56.0,M'Hamid,Appartement,4,1,avito
Rabat,13500.0,124.0,Hay Riad,Appartement,3,1,avito
Casablanca,6000.0,90.0,Californie,Maison,3,1,avito
Casablanca,8500.0,115.0,Almaz,Maison,3,1,avito
Rabat,12000.0,80.0,Quartier de l'Océan,Appartement,4,1,avito
Marrakech,9000.0,86.0,Guéliz,Appartement,3,1,avito
Casablanca,5000.0,130.0,Aïn Chock,Appartement,4,2,avito
Rabat,20000.0,160.0,Haut Agdal,Appartement,4,1,avito
Tanger,7000.0,100.0,Autre secteur,Appartement,4,1,avito
Casablanca,5000.0,40.0,Centre Ville,Maison,2,1,avito
Casablanca,10000.0,120.0,Maârif Extension,Appartement,5,1,avito
Casablanca,35000.0,600.0,Aïn Diab,Villa,6,2,avito
Casablanca,4000.0,54.0,Mandarona,Appartement,3,1,avito
