id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bain,url_annonce
1,Casablanca,5800.0,130.0,Val Fleury,Appartement,3,2,https://www.mubawab.ma/fr/a/8279130/appartement-vide-valfleuri-location-3-chambre
3,Casablanca,7300.0,63.0,Oulfa,Appartement,1,1,https://www.mubawab.ma/fr/a/8277563/studio-meubl%C3%A9-oulfa-location-long-dur%C3%A9e
4,Casablanca,7500.0,71.0,Maârif,Appartement,2,1,https://www.mubawab.ma/fr/a/8281617/appartement-meubl%C3%A9-zirawi-avec-terrasse
6,Casablanca,9500.0,115.0,Palmier,Appartement,3,2,https://www.mubawab.ma/fr/a/8052585/appartement-vide-location-%C3%A0-palmier
10,Casablanca,26000.0,180.0,Gauthier,Appartement,3,3,https://www.mubawab.ma/fr/a/8242721/appartement-moderne-%C3%A0-louer-sur-gauthier
11,Casablanca,12000.0,93.0,Casablanca Finance City,Appartement,2,2,https://www.mubawab.ma/fr/a/8289881/appartement-neuf-%C3%A0-louer-sur-cfc
12,Casablanca,15000.0,95.0,Ain Diab,Appartement,3,3,https://www.mubawab.ma/fr/a/8287345/appartement-meubl%C3%A9-%C3%A0-louer-ain-diab
13,Tanger,15000.0,70.0,De La Plage,Appartement,1,2,https://www.mubawab.ma/fr/a/8184288/f1-tres-haut-standing-neuf-avec-vue-splendide-sur-mer
14,Tanger,22000.0,102.0,De La Plage,Appartement,2,2,https://www.mubawab.ma/fr/a/8291018/apparemment-prestigieux-neuf-avec-vue-panoramique
15,Marrakech,7500.0,60.0,Guéliz,Appartement,1,1,https://www.mubawab.ma/fr/a/8267974/joli-appartement-hivernage-2-pas-de-sous-location
16,Casablanca,8700.0,53.0,Ferme Bretonne (Hay Arraha),Appartement,1,1,https://www.mubawab.ma/fr/a/8288829/appartement-en-location-%C3%A0-ferme-bretonne-hay-arraha-surface-de-53-m%C2%B2-bien-meubl%C3%A9
17,Casablanca,8000.0,53.0,Ferme Bretonne (Hay Arraha),Appartement,1,1,https://www.mubawab.ma/fr/a/8288831/bel-appartement-en-location-%C3%A0-ferme-bretonne-hay-arraha-surface-totale-53-m%C2%B2-bien-meubl%C3%A9
18,Casablanca,16500.0,188.0,Casablanca Finance City,Appartement,3,2,https://www.mubawab.ma/fr/a/8288832/appartement-%C3%A0-louer-%C3%A0-casablanca-finance-city-3-belles-chambres-ascenseur-et-terrasse
19,Casablanca,7000.0,80.0,Belvédère,Appartement,2,2,https://www.mubawab.ma/fr/a/8061649/un-joli-appartement-%C3%A0-boulevard-ibn-tachefine
20,Casablanca,5500.0,5500.0,Californie,Appartement,3,2,https://www.mubawab.ma/fr/a/8137161/%C3%A0-bd-tah-apprt-vide-3-ch-pour-location
22,Casablanca,14000.0,230.0,Maârif,Appartement,4,2,https://www.mubawab.ma/fr/a/8213563/avec-3-chambres-apprt-meubl%C3%A9-%C3%A0-racine
23,Casablanca,5800.0,77.0,Belvédère,Appartement,2,1,https://www.mubawab.ma/fr/a/8236758/appartement-semi-meubl%C3%A9-77%E2%80%AFm%C2%B2-%C3%A0-emile-zola
24,Casablanca,12000.0,110.0,Racine,Appartement,2,2,https://www.mubawab.ma/fr/a/8241395/au-coeur-de-racine-2-chambres-meubl%C3%A9s
25,Casablanca,7500.0,45.0,Les princesses,Appartement,1,1,https://www.mubawab.ma/fr/a/8235522/appart-neuf-les-princesses-jamais-habit%C3%A9
26,Casablanca,8500.0,52.0,Oasis,Appartement,1,1,https://www.mubawab.ma/fr/a/8232200/bel-appart-riviera-terrasse-canon-tout-neuf
27,Casablanca,7500.0,52.0,Oasis,Appartement,1,1,https://www.mubawab.ma/fr/a/8232178/studio-oasis-grande-terrasse
28,Tanger,12000.0,85.0,Bel Air - Val fleuri,Appartement,2,2,https://www.mubawab.ma/fr/a/8217941/appartement-de-luxe-pr%C3%A8s-gare-city-center-hilton
30,Casablanca,6000.0,61.0,Oulfa,Appartement,1,1,https://www.mubawab.ma/fr/a/8191387/%C3%A0-louer-%E2%80%93-appartement-moderne-1-chambre-%E2%80%93-quartier-um6ss-cfc-%E2%80%93-6-500-dhs
31,Marrakech,17000.0,100.0,Boulevard Med 6,Appartement,2,2,https://www.mubawab.ma/fr/a/8173665/appartement-prestigia-location-longue-dur%C3%A9e
32,Casablanca,10000.0,61.0,Casablanca Finance City,Appartement,1,1,https://www.mubawab.ma/fr/a/8165781/appartement-cfc-tour-33-en-face-aeria-mall
34,Rabat,16000.0,150.0,Riyad,Appartement,3,3,https://www.mubawab.ma/fr/a/8287699/prestigia-%E2%80%93-hay-riad-location-longue-dur%C3%A9e
35,Casablanca,45000.0,600.0,Ain Diab,Villa,3,2,https://www.mubawab.ma/fr/a/8078367/villa-moderne-au-bon-ain-diab
38,Casablanca,8500.0,80.0,Maârif,Appartement,2,1,https://www.mubawab.ma/fr/a/8214592/joli-appartement-sans-vis-%C3%A0-vis-racine-les-iris
39,Rabat,23000.0,150.0,Souissi,Appartement,2,2,https://www.mubawab.ma/fr/a/8289779/appartement-de-standing-%C3%A0-louer-%E2%80%93-souissi
40,Casablanca,15000.0,139.0,Racine,Appartement,3,2,https://www.mubawab.ma/fr/a/8236346/superbe-appartement-trois-chambres-non-meubl%C3%A9e-sans-vis-%C3%A0-vis
41,Rabat,14500.0,98.0,Souissi,Appartement,1,1,https://www.mubawab.ma/fr/a/7757782/tr%C3%A8s-bel-appartement-en-location-%C3%A0-souissi-meubl%C3%A9
42,Casablanca,4500.0,56.0,Centre Ville,Appartement,1,1,https://www.mubawab.ma/fr/a/8245784/studio-pr%C3%A9s-de-alpha-55-centre-ville-%C3%A0-louer
43,Casablanca,14000.0,165.0,Maârif,Appartement,4,3,https://www.mubawab.ma/fr/a/8292756/location-d-un-appartement-%C3%A0-ma%C3%A2rif-2-pi%C3%A8ces-porte-blind%C3%A9e-et-parabole
44,Rabat,19000.0,170.0,Haut Agdal,Appartement,4,3,https://www.mubawab.ma/fr/a/8292697/magnifique-appartement-%C3%A0-louer-meubl%C3%A9-haut-agdal
45,Casablanca,8500.0,55.0,CIL (Hay Salam),Appartement,1,1,https://www.mubawab.ma/fr/a/8273426/tr%C3%A8s-bel-appartement-en-location-%C3%A0-cil-hay-salam-3-grandes-pi%C3%A8ces-meubl%C3%A9
47,Casablanca,7500.0,45.0,Ferme Bretonne (Hay Arraha),Appartement,1,1,https://www.mubawab.ma/fr/a/8243657/tr%C3%A8s-beau-studio-en-location-%C3%A0-la-ferme-bretonne-1-chambre-bien-meubl%C3%A9
48,Rabat,38000.0,500.0,Riyad,Villa,3,4,https://www.mubawab.ma/fr/a/8272932/villa-de-luxe-%C3%A0-louer-%C3%A0-riyad-surface-de-500-m%C2%B2-concierge-et-piscine
49,Rabat,60000.0,700.0,Riyad,Villa,3,4,https://www.mubawab.ma/fr/a/8071751/villa-meubl%C3%A9-en-location-%C3%A0-hay-riad
51,Marrakech,35000.0,468.0,Agdal,Villa,4,4,https://www.mubawab.ma/fr/a/8276704/somptueuse-spacieuse-sereine
52,Marrakech,6500.0,65.0,Route Casablanca,Appartement,1,1,https://www.mubawab.ma/fr/a/8284984/appartement-%C3%A0-louer-sur-la-route-de-casa
53,Tanger,9500.0,150.0,Mozart,Appartement,3,3,https://www.mubawab.ma/fr/a/7679906/location-appartement-neuf-%C3%A0-mozart
54,Tanger,7800.0,140.0,Castilla,Appartement,3,2,https://www.mubawab.ma/fr/a/8264725/appartement-%C3%A0-louer-%C3%A0-moulay-ismael
55,Tanger,13000.0,140.0,Iberie,Appartement,3,3,https://www.mubawab.ma/fr/a/8100195/appartement-de-luxe-%C3%A0-louer-%C3%A0-iberia
