id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce,date_annonce
57160527,Casablanca,20000 DH,48 m2,Maarif,Appartement,5,0,https://www.avito.ma/fr/maarif/appartements/__Bel_appartement_vide_moderne_gauthier_5_CHAMBRES_57160527.htm,il y a 6 heures
57454598,Tanger,6500 DH,90 m2,Castilla,Appartement,4,0,https://www.avito.ma/fr/castilla/appartements/Appartement_Non_meubl%C3%A9_%C3%A0_Moulay_Ismail_57454598.htm,il y a 12 heures
57465041,Casablanca,3800 DH,167 m2,Maarif,null,0,0,https://www.avito.ma/fr/maarif/local/G%C3%A9rez_votre_restaurant_au_c_ur_de_Maarif_57465041.htm,il y a 10 heures
57274506,Casablanca,17000 DH,155 m2,Racine,Appartement,3,0,https://www.avito.ma/fr/racine/appartements/CMN_AN_1873___Appartement_%C3%A0_louer_%C3%A0_Racine_57274506.htm,il y a 18 minutes
57472696,Casablanca,2300 DH,56 m2,Oulfa,Appartement,3,0,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_Riad_Oulfa_pour_couples_mari%C3%A9s_avec_documents_de_travail_disponibles_57472696.htm,il y a 16 minutes
57472676,Tanger,6500 DH,100 m2,Centre,Appartement,0,0,https://www.avito.ma/fr/centre/bureaux/Appartement_bureau_de_standing_%C3%A0_Tanger_centre_57472676.htm,il y a 28 minutes
56885333,Casablanca,11000 DH,20 m2,Maarif,Commerce,0,0,https://www.avito.ma/fr/maarif/local/Local_contrat_Bail_place_bien_anim%C3%A9_56885333.htm,il y a 45 minutes
56714911,Casablanca,25000 DH,185 m2,Maârif Extension,Commerce,0,0,https://www.avito.ma/fr/ma%C3%A2rif_extension/local/MAGASIN_185M2_%C3%80_LOUER_MAARIF_56714911.htm,il y a 47 minutes
57460455,Casablanca,5500 DH,90 m2,Route d'Azemmour,Appartement,3,0,https://www.avito.ma/fr/route_d_azemmour/appartements/Appartement_%C3%A0_louer_57460455.htm,il y a 50 minutes
56340448,Casablanca,5000 DH,50 m2,Quartier des Hôpitaux,Appartement,2,0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/STUDIO_VIDE_%C3%80_LOUER_QUARTIER_LES_H%C3%94PITAUX_56340448.htm,il y a 52 minutes
57472635,Tanger,5000 DH,92 m2,Autre secteur,Appartement,3,0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_moderne_a_louer_%C3%A0_Tanger_av_my_rachid_57472635.htm,il y a 53 minutes
56411032,Casablanca,9000 DH,140 m2,Maarif,Bureau,0,0,https://www.avito.ma/fr/maarif/bureaux/BUREAU_CLOISONN%C3%89_140M2_MAARIF_56411032.htm,il y a 54 minutes
56627245,Casablanca,6000 DH,50 m2,Quartier des Hôpitaux,Appartement,2,0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/STUDIO_MEUBL%C3%89_%C3%80_LOUER_QUARTIER_LES_H%C3%94PITAUX_56627245.htm,il y a 58 minutes
57472588,Casablanca,4000 DH,36 m2,Autre secteur,Commerce,0,0,https://www.avito.ma/fr/autre_secteur/local/Local_commercial_de_36_m%C2%B2_%C3%A0_Casablanca_57472588.htm,il y a 1 heure
57293174,Marrakech,7000 DH,86 m2,Guéliz,Appartement,3,0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_80_m%C2%B2_%C3%A0_Marrakech_57293174.htm,il y a 1 heure
56049401,Rabat,5500 DH,35 m2,Hay Riad,Appartement,1,0,https://www.avito.ma/fr/hay_riad/appartements/Studio_%C3%A0_louer_56049401.htm,il y a 1 heure
57472564,Marrakech,28000 DH,418 m2,Route de Fès,Villa,5,0,https://www.avito.ma/fr/route_de_f%C3%A8s/villas_et_riads/Villa_meubl%C3%A9e_avec_piscine___Proche_Belive_57472564.htm,il y a 1 heure
57094699,Casablanca,15000 DH,0 m2,Bourgogne,Appartement,3,0,https://www.avito.ma/fr/bourgogne/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_Bourgogne_57094699.htm,il y a 1 heure
54684176,Rabat,13700 DH,155 m2,Hay Riad,Appartement,6,0,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_louer_mahaj_riad_54684176.htm,il y a 1 heure
56916092,Marrakech,6500 DH,65 m2,Guéliz,Appartement,2,0,https://www.avito.ma/fr/gu%C3%A9liz/bureaux/Appartement_usage_Bureau_%C3%A0_louer_65_m%C2%B2_%C3%A0_Marrakech_56916092.htm,il y a 1 heure
57472558,Marrakech,15000 DH,110 m2,Agdal,Appartement,4,0,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_louer_110_m%C2%B2_%C3%A0_Marrakech_57472558.htm,il y a 1 heure
57430074,Rabat,20000 DH,210 m2,Hay Riad,Appartement,5,0,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_louer_sur_Souissi_57430074.htm,il y a 1 heure
57472551,Marrakech,4000 DH,85 m2,Ain Mezouar,Appartement,4,0,https://www.avito.ma/fr/ain_mezouar/appartements/Appartement_vide_a_Louer_57472551.htm,il y a 1 heure
57402356,Marrakech,11000 DH,160 m2,Guéliz,Appartement,5,0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_160_m%C2%B2_%C3%A0_Marrakech_57402356.htm,il y a 1 heure
57472539,Marrakech,6500 DH,84 m2,Mabrouka,Appartement,3,0,https://www.avito.ma/fr/mabrouka/appartements/Appartement_avec_balcon_et_piscine___%C3%A0_louer_mensuellement_57472539.htm,il y a 1 heure
57285753,Casablanca,4500 DH,97 m2,Centre Ville,Appartement,3,0,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_louer_93_m%C2%B2_%C3%A0_Casablanca_57285753.htm,il y a 1 heure
57434958,Casablanca,7000 DH,60 m2,Gauthier,Appartement,2,0,https://www.avito.ma/fr/gauthier/appartements/Studio_meubl%C3%A9_57434958.htm,il y a 1 heure
57459426,Marrakech,8500 DH,58 m2,Semlalia,Appartement,2,0,https://www.avito.ma/fr/semlalia/appartements/Appartement_%C3%A0_louer_58_m%C2%B2_%C3%A0_Marrakech_57459426.htm,il y a 1 heure
57371309,Casablanca,7000 DH,80 m2,Ain Sebaa,Bureau,0,0,https://www.avito.ma/fr/ain_sebaa/bureaux/Plateau_Bureau_80m2_sur_Ain_Sebaa_57371309.htm,il y a 1 heure
