id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce,date_annonce
57346043,Casablanca,16674 DH,287 m2,Hay Laymouna,Maison,7,0,https://www.avito.ma/fr/hay_laymouna/maisons/Maison_double_fa%C3%A7ade_287_m%C2%B2_habitable_4_niveaux_57346043.htm,il y a 22 heures
57029300,Tanger,25846 DH,113 m2,Ahlane,Maison,12,0,https://www.avito.ma/fr/ahlane/maisons/Maison_enregistr%C3%A9e_avec_deux_fa%C3%A7ades_%C3%A0_vendre_%C3%A0_Ahla_57029300.htm,il y a 2 heures
57374711,Marrakech,19454 DH,260 m2,Route de Tahanaoute,Villa,4,0,https://www.avito.ma/fr/route_de_tahanaoute/maisons/Villa_%C3%A0_5_minutes_de_Morocco_Mall_marrakech_57374711.htm,il y a 7 heures
57333583,Casablanca,255682 DH,102 m2,Sidi Maarouf,Maison,12,0,https://www.avito.ma/fr/sidi_maarouf/maisons/Maison_%C3%A0_vendre_Sidi_Maarouf_57333583.htm,il y a 19 minutes
56921942,Casablanca,19454 DH,378 m2,Sidi Bernoussi,Maison,4,0,https://www.avito.ma/fr/sidi_bernoussi/maisons/Maison_%C3%A0_vendre_%C3%A0_Qods_Sidi_bernoussi_56921942.htm,il y a 55 minutes
57471161,Tanger,8059 DH,60 m2,Beni Said,Maison,1,0,https://www.avito.ma/fr/beni_said/maisons/Maison_%C3%A0_vendre_57471161.htm,il y a 1 heure
57471114,Tanger,12228 DH,100 m2,Beausejour,Maison,2,0,https://www.avito.ma/fr/beausejour/maisons/Maison_%C3%A0_vendre_57471114.htm,il y a 1 heure
55826834,Casablanca,10560 DH,85 m2,Oulfa,Maison,8,0,https://www.avito.ma/fr/oulfa/maisons/Maison_%C3%A0_vendre_55826834.htm,il y a 2 heures
51884933,Casablanca,14451 DH,260 m2,Hay Hassani,Maison,8,0,https://www.avito.ma/fr/hay_hassani/maisons/Maison_260m%C2%B2_habitable_4_Niveaux_en_vente_%C3%A0_Casablanca_51884933.htm,il y a 3 heures
57415933,Casablanca,16674 DH,140 m2,Hay Sadri,null,3,0,https://www.avito.ma/fr/hay_sadri/maisons/Immeuble_%C3%A0_vendre__rue_des_Forces_Auxiliaires_57415933.htm,il y a 3 heures
57470402,Marrakech,2445 DH,452 m2,Oued Ourika,Maison,3,0,https://www.avito.ma/fr/oued_ourika/maisons/belle_maison_%C3%A0_vendre_%C3%A0_la_rue_d_Ourika_57470402.htm,il y a 3 heures
57231969,Casablanca,7781 DH,64 m2,Sidi Othmane,Maison,4,0,https://www.avito.ma/fr/sidi_othmane/maisons/Maison_64m2_RDC_plus_2_deux_fa%C3%A7ades_S_Othman_Casa_57231969.htm,il y a 4 heures
